"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND 1.5","EMC_LimSW_100$","World","Forcing|N2O","W/m2",0.165285006,"",0.187361002,"",0.207718998,"",0.230728999,"",0.256549001,"",0.281589001,"",0.305372,"",0.327722013,"",0.347436011,"",0.363743007
"REMIND 1.5","EMC_NucPO_100$","World","Forcing","W/m2",1.988054991,"",2.517185926,"",2.87447691,"",2.924618959,"",2.77603507,"",2.579361916,"",2.42040801,"",2.289419889,"",2.157655954,"",2.037249088
"REMIND 1.5","EMC_NucPO_100$","World","Forcing|CH4","W/m2",0.503027022,"",0.538928986,"",0.486176997,"",0.437380999,"",0.40822801,"",0.387764007,"",0.380975991,"",0.377929002,"",0.372426003,"",0.362338006
"REMIND 1.5","EMC_NucPO_100$","World","Forcing|CO2","W/m2",1.839236021,"",2.154510021,"",2.334947109,"",2.350600958,"",2.236394882,"",2.076059103,"",1.910730004,"",1.747820973,"",1.593641043,"",1.45014596
"REMIND 1.5","EMC_NucPO_100$","World","Forcing|N2O","W/m2",0.165285006,"",0.187641993,"",0.208199993,"",0.231195003,"",0.257025003,"",0.282122999,"",0.305896997,"",0.328193009,"",0.347860992,"",0.36412701
"REMIND 1.5","EMC_lowEI_100$","World","Forcing","W/m2",1.986981034,"",2.527086973,"",2.858731985,"",2.890428066,"",2.728172064,"",2.513700008,"",2.33793807,"",2.193737984,"",2.055003881,"",1.936179042
"REMIND 1.5","EMC_lowEI_100$","World","Forcing|CH4","W/m2",0.503027022,"",0.538682997,"",0.48161,"",0.432103008,"",0.405093014,"",0.386281013,"",0.38053599,"",0.377956986,"",0.372651994,"",0.362924993
"REMIND 1.5","EMC_lowEI_100$","World","Forcing|CO2","W/m2",1.839236021,"",2.149615049,"",2.311871052,"",2.309798956,"",2.178374052,"",2.000082016,"",1.820541024,"",1.646975994,"",1.488342047,"",1.346735001
"REMIND 1.5","EMC_lowEI_100$","World","Forcing|N2O","W/m2",0.165285006,"",0.187859997,"",0.208317995,"",0.231042996,"",0.256689012,"",0.281866014,"",0.305732012,"",0.328094989,"",0.34781301,"",0.364116013
"REMIND 1.7","ADVANCE_2020_1.5C-2100","World","Forcing","W/m2",2.1606,2.3508,2.6049,2.879,2.9987,3.0112,2.946,2.8562,2.7559,2.6562,2.5637,"",2.3727,"",2.1955,"",2.0385,"",1.8816
"REMIND 1.7","ADVANCE_2030_1.5C-2100","World","Forcing","W/m2",2.1606,2.3508,2.5893,2.7969,2.9955,3.1782,3.1726,3.0872,2.9517,2.8106,2.6832,"",2.4369,"",2.2164,"",2.0299,"",1.8558
"REMIND 1.7","CEMICS-1.5-CDR12","World","Forcing","W/m2",1.9999,2.2887,2.6315,2.926,3.053,3.0542,2.9726,2.8595,2.7542,2.6552,2.5722,"",2.4199,"",2.2753,"",2.1362,"",2.0027
"REMIND 1.7","CEMICS-1.5-CDR12","World","Forcing|CH4","W/m2",0.4922,0.5223,0.5491,0.5415,0.5015,0.4533,0.4163,0.3918,0.3746,0.3637,0.3588,"",0.3535,"",0.3483,"",0.3401,"",0.327
"REMIND 1.7","CEMICS-1.5-CDR12","World","Forcing|CO2","W/m2",1.8478,2.04,2.2372,2.3909,2.4678,2.4724,2.4296,2.3606,2.2876,2.2158,2.147,"",2.0071,"",1.8677,"",1.736,"",1.6152
"REMIND 1.7","CEMICS-1.5-CDR12","World","Forcing|N2O","W/m2",0.1632,0.1721,0.1823,0.1926,0.2019,0.21,0.2171,0.2238,0.2302,0.2362,0.2422,"",0.254,"",0.2652,"",0.2751,"",0.2827
"REMIND 1.7","CEMICS-1.5-CDR20","World","Forcing","W/m2",1.9999,2.2887,2.6313,2.9389,3.1064,3.151,3.1069,3.0341,2.9539,2.8604,2.7698,"",2.5756,"",2.3813,"",2.1757,"",1.9507
